"","date","X.x","cases","hospitalization","deaths","positivetests","X.y","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","X","new.infection","corrections.cases","net.infection","new.hospitals","corrections.hospitals","net.hospitals","new.deaths","corrections.deaths","net.deaths","positive_7daverage"
"1",2020-02-27,1,1,NA,0,0,1,2,2,1,0,7,4,7,40,0,0,0,4,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-02-28,2,2,NA,0,1,2,3,0,0,1,8,5,8,43,0,0,0,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-02-29,3,7,NA,0,5,3,1,0,0,0,9,4,9,43,0,0,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-01,4,10,NA,0,3,4,6,1,2,0,11,5,11,50,0,0,1,7,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-02,5,18,NA,0,8,5,9,1,0,0,10,5,11,60,0,0,1,10,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-03-03,6,24,NA,0,6,6,6,0,1,0,12,6,13,65,0,0,1,6,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-04,7,38,NA,0,14,7,8,2,3,0,15,8,16,74,0,2,1,10,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-03-05,8,82,NA,0,44,8,10,0,1,1,15,8,18,82,0,2,1,10,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-03-06,9,128,NA,1,46,9,14,1,4,0,19,11,22,96,0,2,2,15,4,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-03-07,10,188,NA,1,60,10,6,3,3,0,21,12,25,105,0,3,1,9,3,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-03-08,11,265,NA,3,77,11,13,5,6,0,27,16,31,121,2,3,1,18,6,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-03-09,12,321,NA,3,56,12,20,5,5,1,31,18,38,143,2,3,2,25,6,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-03-10,13,382,NA,4,61,13,22,5,9,0,37,19,47,164,2,3,2,27,9,25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-03-11,14,503,NA,5,121,14,39,4,8,0,46,21,57,201,4,3,2,43,8,29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-03-12,15,613,86,5,110,15,51,4,23,0,67,28,80,248,5,3,2,55,23,33,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-03-13,16,804,115,10,191,16,64,4,13,0,78,31,94,308,5,4,2,68,13,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-03-14,17,959,136,12,155,17,52,3,17,0,94,39,112,347,6,6,5,55,17,40,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-03-15,18,1135,162,20,176,18,60,8,27,0,118,47,140,391,10,6,8,68,27,48,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-03-16,19,1413,205,24,278,19,125,19,32,0,146,53,173,510,15,7,9,144,32,67,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-03-17,20,1703,314,43,290,20,127,13,34,0,175,56,209,595,17,7,12,140,34,80,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-03-18,21,2051,408,58,348,21,154,16,50,0,224,60,263,716,22,10,13,170,50,96,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2020-03-19,22,2460,489,76,409,22,215,26,57,1,281,68,327,897,29,10,15,241,58,122,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2020-03-20,23,2994,634,106,534,23,203,25,82,0,356,70,414,1047,34,12,21,228,82,147,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2020-03-21,24,3631,836,136,637,24,184,12,72,3,424,70,495,1125,47,14,28,196,75,159,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-03-22,25,4204,988,179,573,25,219,17,71,1,477,70,569,1226,52,17,30,236,72,176,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2020-03-23,26,4749,1230,213,545,26,395,26,98,1,568,72,669,1526,69,19,42,421,99,202,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2020-03-24,27,5560,1495,276,811,27,392,24,107,0,648,73,781,1758,76,22,48,416,107,226,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2020-03-25,28,6412,1836,356,852,28,421,24,114,1,747,74,900,1969,88,26,58,445,115,250,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2020-03-26,29,7431,2151,434,1019,29,419,34,104,1,832,74,1012,2175,110,36,60,453,105,284,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2020-03-27,30,8603,2500,546,1172,30,523,34,112,1,919,74,1130,2407,124,42,75,557,113,318,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2020-03-28,31,9762,2954,639,1159,31,287,25,99,2,986,74,1235,2340,141,46,91,312,101,343,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2020-03-29,32,10866,3483,771,1104,32,238,20,88,1,1036,74,1328,2302,167,57,102,258,89,363,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2020-03-30,33,11750,3990,864,884,33,395,27,127,3,1125,74,1461,2449,186,66,121,422,130,390,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2020-03-31,34,12595,4712,1039,845,34,289,39,107,0,1188,74,1571,2407,218,82,129,328,107,429,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2020-04-01,35,13614,5159,1173,1019,35,279,43,71,1,1205,75,1645,2308,238,100,138,322,72,472,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2020-04-02,36,14697,5784,1339,1083,36,314,42,88,2,1250,75,1743,2310,261,114,151,356,90,514,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2020-04-03,37,15723,6286,1487,1026,37,292,54,76,0,1278,75,1822,2305,294,136,159,346,76,568,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2020-04-04,38,16627,6622,1651,904,38,177,23,62,2,1280,74,1887,2121,313,149,177,200,64,591,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2020-04-05,39,17851,6875,1766,1224,39,205,20,72,1,1301,75,1963,2083,335,158,198,225,73,611,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
