"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2020-02-27,2,2,1,0,10,7,10,59,0,0,0,61,4,1,2,0,1
2020-02-28,3,0,0,1,11,8,11,62,0,0,0,64,3,1,2,1,1
2020-02-29,1,0,0,0,12,7,12,62,0,0,0,65,1,0,2,1,1
2020-03-01,7,1,2,0,14,8,14,70,0,0,1,73,8,2,3,1,3
2020-03-02,10,1,0,0,13,7,14,81,0,0,1,84,11,0,4,1,3
2020-03-03,8,0,1,0,15,7,16,88,0,0,1,92,8,1,4,1,4
2020-03-04,10,3,3,0,18,9,19,100,0,2,1,105,13,3,7,1,7
2020-03-05,12,1,1,1,18,11,21,110,0,2,1,117,13,2,8,2,8
2020-03-06,18,1,4,0,22,14,25,125,0,2,2,133,19,4,9,2,12
2020-03-07,7,3,3,0,24,15,28,134,0,3,1,142,10,3,12,2,15
2020-03-08,18,5,6,0,30,19,34,153,2,3,1,163,23,6,17,2,21
2020-03-09,27,5,5,2,35,21,42,178,2,3,1,193,32,7,22,4,26
2020-03-10,28,4,9,1,43,23,52,201,2,3,2,222,32,10,26,5,35
2020-03-11,43,6,9,0,51,24,62,238,4,3,2,266,49,9,32,5,44
2020-03-12,55,4,23,0,71,30,85,283,5,3,2,319,59,23,36,5,67
2020-03-13,73,6,13,0,82,33,99,350,5,4,2,395,79,13,42,5,80
2020-03-14,62,3,19,0,100,42,119,391,5,7,5,452,65,19,45,5,99
2020-03-15,69,8,26,1,123,49,147,439,7,7,6,523,77,27,53,6,125
2020-03-16,140,19,33,0,154,55,181,570,12,8,6,676,159,33,72,6,158
2020-03-17,144,13,35,0,184,59,218,656,14,8,9,817,157,35,85,6,193
2020-03-18,171,15,51,0,234,63,273,778,17,12,10,989,186,51,100,6,244
2020-03-19,250,25,58,2,292,70,339,980,25,12,12,1251,275,60,125,8,302
2020-03-20,238,27,82,1,367,71,426,1156,30,14,17,1499,265,83,152,9,384
2020-03-21,199,13,72,3,436,71,508,1239,42,16,26,1685,212,75,165,12,456
2020-03-22,236,19,72,1,486,71,582,1345,48,19,27,1913,255,73,184,13,528
2020-03-23,444,24,98,3,579,71,685,1664,65,22,39,2343,468,101,208,16,626
2020-03-24,420,25,108,1,660,73,799,1915,75,26,44,2752,445,109,233,17,734
2020-03-25,433,23,114,2,758,74,918,2130,88,31,52,3165,456,116,256,19,848
2020-03-26,434,34,103,4,843,74,1031,2326,106,41,55,3590,468,107,290,23,951
2020-03-27,557,36,113,1,930,74,1151,2590,121,47,72,4129,593,114,326,24,1064
2020-03-28,293,27,98,2,994,74,1255,2525,140,51,88,4404,320,100,353,26,1162
2020-03-29,253,18,87,2,1040,74,1347,2479,164,62,99,4632,271,89,371,28,1249
2020-03-30,437,29,126,3,1129,74,1479,2626,184,71,118,5034,466,129,400,31,1375
2020-03-31,308,42,109,1,1194,74,1592,2557,218,89,126,5328,350,110,442,32,1484
2020-04-01,312,42,72,3,1211,75,1666,2464,243,107,136,5637,354,75,484,35,1556
2020-04-02,350,41,90,3,1254,75,1765,2445,265,122,148,5974,391,93,525,38,1646
2020-04-03,330,56,76,0,1281,75,1844,2448,297,143,156,6320,386,76,581,38,1722
2020-04-04,186,24,62,3,1285,74,1910,2238,316,157,173,6490,210,65,605,41,1784
2020-04-05,226,21,73,3,1310,75,1989,2187,339,166,194,6689,247,76,626,44,1857
