"Week","Year","weekdeath_today","weekdeath_yesterday","diff"
"10","2020",4,4,0
"11","2020",36,36,0
"12","2020",295,295,0
"13","2020",797,797,0
"14","2020",1185,1185,0
"15","2020",1039,1039,0
"16","2020",885,885,0
"17","2020",704,704,0
"18","2020",426,426,0
"19","2020",294,294,0
"20","2020",175,175,0
"21","2020",120,120,0
"22","2020",91,91,0
"23","2020",56,56,0
"24","2020",35,35,0
"25","2020",25,25,0
"26","2020",12,12,0
"27","2020",12,12,0
"28","2020",6,6,0
"29","2020",7,7,0
"30","2020",7,7,0
"31","2020",9,9,0
"32","2020",5,5,0
"33","2020",26,26,0
"34","2020",27,27,0
"35","2020",23,23,0
"36","2020",18,18,0
"37","2020",20,20,0
"38","2020",37,37,0
"39","2020",91,91,0
"40","2020",128,128,0
"41","2020",172,172,0
"42","2020",267,267,0
"43","2020",368,368,0
"44","2020",508,508,0
"45","2020",555,555,0
"46","2020",455,455,0
"47","2020",366,366,0
"48","2020",350,350,0
"49","2020",313,313,0
"50","2020",383,383,0
"51","2020",507,507,0
"52","2020",613,613,0
"53","2020",648,647,1
"01","2021",625,623,2
"02","2021",522,521,1
"03","2021",287,261,26
