"Date_statistics","2021-03-29","2021-03-30","diff21"
2020-01-31,1,1,0
2020-02-13,1,1,0
2020-02-20,2,2,0
2020-02-21,1,1,0
2020-02-23,1,1,0
2020-02-24,2,2,0
2020-02-25,4,4,0
2020-02-26,4,4,0
2020-02-27,7,7,0
2020-02-28,5,5,0
2020-02-29,5,5,0
2020-03-01,9,9,0
2020-03-02,13,13,0
2020-03-03,6,6,0
2020-03-04,12,12,0
2020-03-05,19,19,0
2020-03-06,29,29,0
2020-03-07,35,35,0
2020-03-08,25,25,0
2020-03-09,53,53,0
2020-03-10,50,50,0
2020-03-11,77,77,0
2020-03-12,80,80,0
2020-03-13,89,89,0
2020-03-14,89,89,0
2020-03-15,114,114,0
2020-03-16,155,155,0
2020-03-17,132,132,0
2020-03-18,148,148,0
2020-03-19,146,146,0
2020-03-20,166,166,0
2020-03-21,154,154,0
2020-03-22,141,141,0
2020-03-23,219,219,0
2020-03-24,182,182,0
2020-03-25,183,183,0
2020-03-26,180,180,0
2020-03-27,181,181,0
2020-03-28,152,152,0
2020-03-29,123,123,0
2020-03-30,173,173,0
2020-03-31,133,133,0
2020-04-01,161,161,0
2020-04-02,118,118,0
2020-04-03,149,149,0
2020-04-04,133,133,0
2020-04-05,97,97,0
2020-04-06,155,155,0
2020-04-07,139,139,0
2020-04-08,133,133,0
2020-04-09,116,116,0
2020-04-10,127,127,0
2020-04-11,80,80,0
2020-04-12,101,101,0
2020-04-13,67,67,0
2020-04-14,106,106,0
2020-04-15,83,83,0
2020-04-16,90,90,0
2020-04-17,68,68,0
2020-04-18,64,64,0
2020-04-19,50,50,0
2020-04-20,68,68,0
2020-04-21,63,63,0
2020-04-22,43,43,0
2020-04-23,39,39,0
2020-04-24,31,31,0
2020-04-25,45,45,0
2020-04-26,23,23,0
2020-04-27,30,30,0
2020-04-28,29,29,0
2020-04-29,30,30,0
2020-04-30,27,27,0
2020-05-01,36,36,0
2020-05-02,25,25,0
2020-05-03,28,28,0
2020-05-04,31,31,0
2020-05-05,18,18,0
2020-05-06,23,23,0
2020-05-07,18,18,0
2020-05-08,21,21,0
2020-05-09,16,16,0
2020-05-10,9,9,0
2020-05-11,20,20,0
2020-05-12,19,19,0
2020-05-13,11,11,0
2020-05-14,6,6,0
2020-05-15,13,13,0
2020-05-16,7,7,0
2020-05-17,14,14,0
2020-05-18,11,11,0
2020-05-19,8,8,0
2020-05-20,6,6,0
2020-05-21,9,9,0
2020-05-22,10,10,0
2020-05-23,6,6,0
2020-05-24,4,4,0
2020-05-25,8,8,0
2020-05-26,5,5,0
2020-05-27,4,4,0
2020-05-28,6,6,0
2020-05-29,2,2,0
2020-05-30,1,1,0
2020-05-31,4,4,0
2020-06-01,4,4,0
2020-06-02,4,4,0
2020-06-03,3,3,0
2020-06-04,3,3,0
2020-06-05,4,4,0
2020-06-06,4,4,0
2020-06-07,1,1,0
2020-06-08,3,3,0
2020-06-09,1,1,0
2020-06-10,1,1,0
2020-06-11,1,1,0
2020-06-12,1,1,0
2020-06-14,3,3,0
2020-06-15,1,1,0
2020-06-16,2,2,0
2020-06-17,2,2,0
2020-06-18,1,1,0
2020-06-19,2,2,0
2020-06-22,4,4,0
2020-06-23,3,3,0
2020-06-24,1,1,0
2020-06-26,1,1,0
2020-06-29,1,1,0
2020-07-02,1,1,0
2020-07-03,1,1,0
2020-07-06,1,1,0
2020-07-11,1,1,0
2020-07-13,4,4,0
2020-07-15,1,1,0
2020-07-16,2,2,0
2020-07-17,2,2,0
2020-07-18,1,1,0
2020-07-20,1,1,0
2020-07-22,1,1,0
2020-07-25,2,2,0
2020-07-28,1,1,0
2020-07-29,4,4,0
2020-07-30,3,3,0
2020-07-31,1,1,0
2020-08-01,2,2,0
2020-08-02,4,4,0
2020-08-03,4,4,0
2020-08-04,7,7,0
2020-08-05,1,1,0
2020-08-06,1,1,0
2020-08-07,3,3,0
2020-08-08,4,4,0
2020-08-09,5,5,0
2020-08-10,7,7,0
2020-08-11,8,8,0
2020-08-12,7,7,0
2020-08-13,1,1,0
2020-08-14,6,6,0
2020-08-15,4,4,0
2020-08-16,1,1,0
2020-08-17,2,2,0
2020-08-18,3,3,0
2020-08-19,2,2,0
2020-08-20,1,1,0
2020-08-21,3,3,0
2020-08-22,1,1,0
2020-08-23,1,1,0
2020-08-25,2,2,0
2020-08-26,4,4,0
2020-08-27,1,1,0
2020-08-28,2,2,0
2020-08-29,2,2,0
2020-08-30,1,1,0
2020-08-31,3,3,0
2020-09-01,4,4,0
2020-09-02,5,5,0
2020-09-04,9,9,0
2020-09-05,4,4,0
2020-09-06,6,6,0
2020-09-07,6,6,0
2020-09-08,6,6,0
2020-09-09,9,9,0
2020-09-10,12,12,0
2020-09-11,8,8,0
2020-09-12,4,4,0
2020-09-13,12,12,0
2020-09-14,21,21,0
2020-09-15,11,11,0
2020-09-16,11,11,0
2020-09-17,12,12,0
2020-09-18,17,17,0
2020-09-19,24,24,0
2020-09-20,19,19,0
2020-09-21,21,21,0
2020-09-22,25,25,0
2020-09-23,24,24,0
2020-09-24,19,19,0
2020-09-25,20,20,0
2020-09-26,29,29,0
2020-09-27,14,14,0
2020-09-28,28,28,0
2020-09-29,33,33,0
2020-09-30,26,26,0
2020-10-01,26,26,0
2020-10-02,26,26,0
2020-10-03,43,43,0
2020-10-04,35,35,0
2020-10-05,46,46,0
2020-10-06,54,54,0
2020-10-07,59,59,0
2020-10-08,46,46,0
2020-10-09,41,41,0
2020-10-10,48,48,0
2020-10-11,47,47,0
2020-10-12,66,66,0
2020-10-13,52,52,0
2020-10-14,82,82,0
2020-10-15,61,61,0
2020-10-16,56,56,0
2020-10-17,66,66,0
2020-10-18,75,75,0
2020-10-19,85,85,0
2020-10-20,85,85,0
2020-10-21,70,70,0
2020-10-22,97,97,0
2020-10-23,95,95,0
2020-10-24,82,82,0
2020-10-25,78,78,0
2020-10-26,99,99,0
2020-10-27,93,93,0
2020-10-28,70,70,0
2020-10-29,81,81,0
2020-10-30,76,76,0
2020-10-31,79,79,0
2020-11-01,63,63,0
2020-11-02,76,76,0
2020-11-03,64,64,0
2020-11-04,53,53,0
2020-11-05,49,49,0
2020-11-06,53,53,0
2020-11-07,39,39,0
2020-11-08,36,36,0
2020-11-09,55,55,0
2020-11-10,57,57,0
2020-11-11,71,71,0
2020-11-12,63,63,0
2020-11-13,61,61,0
2020-11-14,36,36,0
2020-11-15,35,35,0
2020-11-16,45,45,0
2020-11-17,52,52,0
2020-11-18,30,30,0
2020-11-19,57,57,0
2020-11-20,30,30,0
2020-11-21,44,44,0
2020-11-22,37,37,0
2020-11-23,62,62,0
2020-11-24,40,40,0
2020-11-25,51,51,0
2020-11-26,49,49,0
2020-11-27,37,37,0
2020-11-28,41,41,0
2020-11-29,44,44,0
2020-11-30,59,59,0
2020-12-01,67,67,0
2020-12-02,58,58,0
2020-12-03,66,66,0
2020-12-04,75,75,0
2020-12-05,57,57,0
2020-12-06,54,54,0
2020-12-07,65,65,0
2020-12-08,88,88,0
2020-12-09,93,93,0
2020-12-10,99,99,0
2020-12-11,92,92,0
2020-12-12,86,86,0
2020-12-13,68,68,0
2020-12-14,106,106,0
2020-12-15,96,96,0
2020-12-16,118,118,0
2020-12-17,122,122,0
2020-12-18,110,110,0
2020-12-19,80,80,0
2020-12-20,97,97,0
2020-12-21,110,110,0
2020-12-22,109,109,0
2020-12-23,118,118,0
2020-12-24,121,121,0
2020-12-25,74,74,0
2020-12-26,74,74,0
2020-12-27,84,84,0
2020-12-28,98,98,0
2020-12-29,91,91,0
2020-12-30,63,63,0
2020-12-31,76,76,0
2021-01-01,57,57,0
2021-01-02,68,68,0
2021-01-03,76,76,0
2021-01-04,106,106,0
2021-01-05,101,101,0
2021-01-06,82,82,0
2021-01-07,61,61,0
2021-01-08,67,67,0
2021-01-09,62,62,0
2021-01-10,67,67,0
2021-01-11,82,82,0
2021-01-12,95,95,0
2021-01-13,60,60,0
2021-01-14,60,60,0
2021-01-15,80,80,0
2021-01-16,52,52,0
2021-01-17,61,61,0
2021-01-18,63,63,0
2021-01-19,63,63,0
2021-01-20,76,76,0
2021-01-21,49,49,0
2021-01-22,59,59,0
2021-01-23,42,42,0
2021-01-24,40,40,0
2021-01-25,51,51,0
2021-01-26,50,50,0
2021-01-27,59,59,0
2021-01-28,54,54,0
2021-01-29,55,55,0
2021-01-30,49,49,0
2021-01-31,50,50,0
2021-02-01,64,64,0
2021-02-02,60,60,0
2021-02-03,59,59,0
2021-02-04,55,55,0
2021-02-05,55,55,0
2021-02-06,46,46,0
2021-02-07,33,33,0
2021-02-08,51,51,0
2021-02-09,65,65,0
2021-02-10,43,43,0
2021-02-11,51,51,0
2021-02-12,59,59,0
2021-02-13,46,47,1
2021-02-14,31,31,0
2021-02-15,44,44,0
2021-02-16,51,51,0
2021-02-17,40,40,0
2021-02-18,40,40,0
2021-02-19,34,35,1
2021-02-20,35,35,0
2021-02-21,29,29,0
2021-02-22,41,41,0
2021-02-23,28,28,0
2021-02-24,36,36,0
2021-02-25,24,24,0
2021-02-26,14,14,0
2021-02-27,16,16,0
2021-02-28,24,24,0
2021-03-01,21,21,0
2021-03-02,22,23,1
2021-03-03,19,19,0
2021-03-04,16,17,1
2021-03-05,15,16,1
2021-03-06,11,11,0
2021-03-07,16,17,1
2021-03-08,24,24,0
2021-03-09,24,26,2
2021-03-10,15,16,1
2021-03-11,19,19,0
2021-03-12,16,17,1
2021-03-13,8,10,2
2021-03-14,9,10,1
2021-03-15,13,17,4
2021-03-16,13,15,2
2021-03-17,8,10,2
2021-03-18,8,10,2
2021-03-19,5,5,0
2021-03-20,7,7,0
2021-03-21,2,5,3
2021-03-22,5,6,1
2021-03-23,3,3,0
2021-03-24,2,3,1
2021-03-25,2,2,0
2021-03-26,1,1,0
2021-03-27,1,4,3
2021-03-28,1,2,1
2021-03-29,NA,2,NA
