"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,10,1,12,2020-11-30
"20 - 24",3,0,19,0,22,2020-11-30
"25 - 29",2,1,28,2,33,2020-11-30
"30 - 34",3,4,59,2,68,2020-11-30
"35 - 39",7,2,56,9,74,2020-11-30
"40 - 44",8,5,93,10,116,2020-11-30
"45 - 49",9,9,228,27,273,2020-11-30
"50 - 54",25,41,339,45,450,2020-11-30
"55 - 59",45,76,440,101,662,2020-11-30
"60 - 64",60,91,517,174,842,2020-11-30
"65 - 69",52,91,483,291,917,2020-11-30
"70 - 74",55,119,479,386,1039,2020-11-30
"75 - 79",35,59,241,321,656,2020-11-30
"80 - 84",17,9,55,119,200,2020-11-30
"85 - 89",3,2,6,20,31,2020-11-30
">90",0,0,1,3,4,2020-11-30
