"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,16,2,19,2021-03-24
"20 - 24",2,1,32,0,35,2021-03-24
"25 - 29",1,1,62,3,67,2021-03-24
"30 - 34",11,6,99,3,119,2021-03-24
"35 - 39",6,12,113,12,143,2021-03-24
"40 - 44",6,21,172,17,216,2021-03-24
"45 - 49",23,23,373,44,463,2021-03-24
"50 - 54",33,55,627,99,814,2021-03-24
"55 - 59",59,87,875,173,1194,2021-03-24
"60 - 64",80,108,1014,331,1533,2021-03-24
"65 - 69",74,123,954,498,1649,2021-03-24
"70 - 74",65,116,884,738,1803,2021-03-24
"75 - 79",29,67,485,538,1119,2021-03-24
"80 - 84",8,5,115,198,326,2021-03-24
"85 - 89",1,1,15,32,49,2021-03-24
">90",0,0,3,2,5,2021-03-24
