"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,17,2,19,2021-04-09
"20 - 24",2,0,34,0,36,2021-04-09
"25 - 29",0,6,66,4,76,2021-04-09
"30 - 34",9,6,111,3,129,2021-04-09
"35 - 39",11,19,127,12,169,2021-04-09
"40 - 44",13,23,197,17,250,2021-04-09
"45 - 49",19,32,408,47,506,2021-04-09
"50 - 54",46,77,674,106,903,2021-04-09
"55 - 59",61,100,954,189,1304,2021-04-09
"60 - 64",66,120,1099,355,1640,2021-04-09
"65 - 69",85,166,1033,527,1811,2021-04-09
"70 - 74",67,144,946,786,1943,2021-04-09
"75 - 79",33,83,519,562,1197,2021-04-09
"80 - 84",10,7,119,208,344,2021-04-09
"85 - 89",2,1,15,33,51,2021-04-09
">90",1,0,3,2,6,2021-04-09
