"","Leeftijd","1","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34"
"1","0-9",NA,NA,NA,NA,NA,NA,2,4,13,8,23,13,11,8,4,3,14,13,20,23,25,34,24,14,10,12,14,15,35,50,29,10
"2","10-19",NA,NA,NA,NA,NA,1,21,26,24,29,44,91,79,85,48,39,35,39,52,73,77,85,51,43,49,91,136,168,293,447,382,117
"3","20-29",NA,NA,NA,1,NA,3,31,80,281,362,501,689,694,590,354,238,176,148,243,195,183,186,113,104,100,153,273,459,882,1306,1024,289
"4","30-39",NA,NA,NA,NA,NA,2,26,114,399,481,546,589,657,413,276,184,149,120,193,170,164,169,115,110,62,131,221,304,537,722,524,142
"5","40-49",1,NA,NA,NA,6,4,80,178,459,640,716,844,760,549,356,248,149,133,169,178,167,134,106,89,59,137,183,252,436,540,386,74
"6","50-59",NA,1,1,1,2,9,99,284,770,1161,1171,1349,1276,873,502,336,250,211,216,170,180,152,79,74,70,115,186,270,478,549,438,119
"7","60-69",NA,NA,2,NA,6,6,44,222,769,1010,965,820,752,484,293,212,142,141,121,90,100,79,37,33,38,49,120,149,209,277,209,58
"8","70-79",NA,NA,NA,2,2,14,59,189,780,1257,1143,831,731,414,289,188,142,99,89,69,43,35,15,13,16,35,54,61,99,117,101,27
"9","80-89",NA,NA,2,2,NA,1,34,134,501,974,1281,1203,1134,873,606,397,257,205,107,66,64,39,22,19,12,7,25,26,57,57,66,24
"10","90+",NA,NA,1,NA,1,2,6,23,101,262,462,518,548,448,314,179,127,92,63,42,27,13,7,11,4,1,6,10,8,25,24,9
"11","0-9",NA,NA,NA,NA,NA,NA,0.5,0.32,0.32,0.13,0.34,0.19,0.17,0.17,0.13,0.15,0.97,1.08,1.57,2.14,2.43,3.67,4.22,2.75,2.38,1.64,1.15,0.88,1.15,1.22,0.91,1.15
"12","10-19",NA,NA,NA,NA,NA,2.38,5.22,2.07,0.59,0.47,0.64,1.31,1.19,1.79,1.58,1.93,2.43,3.25,4.08,6.78,7.48,9.18,8.96,8.43,11.67,12.45,11.17,9.8,9.66,10.93,12,13.46
"13","20-29",NA,NA,NA,16.67,NA,7.14,7.71,6.38,6.86,5.85,7.31,9.92,10.45,12.46,11.64,11.76,12.21,12.32,19.09,18.12,17.77,20.09,19.86,20.39,23.81,20.93,22.41,26.78,29.07,31.93,32.17,33.26
"14","30-39",NA,NA,NA,NA,NA,4.76,6.47,9.09,9.74,7.78,7.97,8.48,9.89,8.72,9.07,9.09,10.34,9.99,15.16,15.8,15.92,18.25,20.21,21.57,14.76,17.92,18.14,17.74,17.7,17.65,16.46,16.34
"15","40-49",100,NA,NA,NA,35.29,9.52,19.9,14.19,11.2,10.35,10.45,12.15,11.44,11.59,11.7,12.25,10.34,11.07,13.28,16.54,16.21,14.47,18.63,17.45,14.05,18.74,15.02,14.7,14.37,13.2,12.13,8.52
"16","50-59",NA,100,16.67,16.67,11.76,21.43,24.63,22.65,18.79,18.77,17.09,19.42,19.21,18.43,16.5,16.6,17.35,17.57,16.97,15.8,17.48,16.41,13.88,14.51,16.67,15.73,15.27,15.75,15.75,13.42,13.76,13.69
"17","60-69",NA,NA,33.33,NA,35.29,14.29,10.95,17.7,18.77,16.33,14.08,11.8,11.32,10.22,9.63,10.47,9.85,11.74,9.51,8.36,9.71,8.53,6.5,6.47,9.05,6.7,9.85,8.69,6.89,6.77,6.57,6.67
"18","70-79",NA,NA,NA,33.33,11.76,33.33,14.68,15.07,19.04,20.33,16.68,11.96,11.01,8.74,9.5,9.29,9.85,8.24,6.99,6.41,4.17,3.78,2.64,2.55,3.81,4.79,4.43,3.56,3.26,2.86,3.17,3.11
"19","80-89",NA,NA,33.33,33.33,NA,2.38,8.46,10.69,12.23,15.75,18.7,17.32,17.07,18.43,19.92,19.61,17.83,17.07,8.41,6.13,6.21,4.21,3.87,3.73,2.86,0.96,2.05,1.52,1.88,1.39,2.07,2.76
"20","90+",NA,NA,16.67,NA,5.88,4.76,1.49,1.83,2.47,4.24,6.74,7.46,8.25,9.46,10.32,8.84,8.81,7.66,4.95,3.9,2.62,1.4,1.23,2.16,0.95,0.14,0.49,0.58,0.26,0.61,0.75,1.04
