"","Leeftijd","1","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"1","0-9",NA,NA,NA,NA,NA,NA,2,4,13,8,23,13,11,8,4,3,14,13,20,23,25,34,24,14,10,13,13,15,34,42,11
"2","10-19",NA,NA,NA,NA,NA,1,21,26,24,29,44,91,79,85,48,39,35,39,52,73,77,85,51,43,49,91,136,167,275,352,69
"3","20-29",NA,NA,NA,1,NA,3,31,80,281,362,501,689,694,590,354,238,176,148,243,195,183,186,114,102,100,153,269,455,838,1057,219
"4","30-39",NA,NA,NA,NA,NA,2,26,114,399,481,546,589,657,413,276,184,149,120,193,170,164,169,115,110,62,130,219,303,509,569,115
"5","40-49",1,NA,NA,NA,6,4,80,178,459,640,716,844,760,549,356,248,149,133,169,178,167,134,106,88,60,138,180,248,401,439,79
"6","50-59",NA,1,1,1,2,9,99,284,770,1161,1171,1350,1276,873,502,336,250,212,216,170,180,152,79,74,69,114,183,265,446,435,94
"7","60-69",NA,NA,2,NA,6,6,44,222,769,1010,965,820,752,484,293,212,142,141,120,90,100,79,37,33,38,49,120,147,187,216,59
"8","70-79",NA,NA,NA,2,2,14,59,189,780,1257,1143,831,731,414,289,188,142,99,89,69,43,35,15,13,16,35,55,63,89,95,34
"9","80-89",NA,NA,2,2,NA,1,34,134,501,974,1281,1203,1134,873,606,397,257,205,107,66,64,39,22,19,12,8,24,27,51,48,20
"10","90+",NA,NA,1,NA,1,2,6,23,101,262,462,518,548,448,314,179,127,92,63,42,27,13,7,11,4,1,6,10,6,22,7
"11","0-9",NA,NA,NA,NA,NA,NA,0.5,0.32,0.32,0.13,0.34,0.19,0.17,0.17,0.13,0.15,0.97,1.08,1.57,2.14,2.43,3.67,4.21,2.76,2.38,1.78,1.08,0.88,1.2,1.28,1.56
"12","10-19",NA,NA,NA,NA,NA,2.38,5.22,2.07,0.59,0.47,0.64,1.31,1.19,1.79,1.58,1.93,2.43,3.24,4.09,6.78,7.48,9.18,8.95,8.48,11.67,12.43,11.29,9.82,9.7,10.75,9.76
"13","20-29",NA,NA,NA,16.67,NA,7.14,7.71,6.38,6.86,5.85,7.31,9.92,10.45,12.46,11.64,11.76,12.21,12.31,19.1,18.12,17.77,20.09,20,20.12,23.81,20.9,22.32,26.76,29.55,32.27,30.98
"14","30-39",NA,NA,NA,NA,NA,4.76,6.47,9.09,9.74,7.78,7.97,8.48,9.89,8.72,9.07,9.09,10.34,9.98,15.17,15.8,15.92,18.25,20.18,21.7,14.76,17.76,18.17,17.82,17.95,17.37,16.27
"15","40-49",100,NA,NA,NA,35.29,9.52,19.9,14.19,11.2,10.35,10.45,12.15,11.44,11.59,11.7,12.25,10.34,11.06,13.29,16.54,16.21,14.47,18.6,17.36,14.29,18.85,14.94,14.59,14.14,13.4,11.17
"16","50-59",NA,100,16.67,16.67,11.76,21.43,24.63,22.65,18.79,18.77,17.09,19.43,19.21,18.43,16.5,16.6,17.35,17.64,16.98,15.8,17.48,16.41,13.86,14.6,16.43,15.57,15.19,15.59,15.73,13.28,13.3
"17","60-69",NA,NA,33.33,NA,35.29,14.29,10.95,17.7,18.77,16.33,14.08,11.8,11.32,10.22,9.63,10.47,9.85,11.73,9.43,8.36,9.71,8.53,6.49,6.51,9.05,6.69,9.96,8.65,6.59,6.6,8.35
"18","70-79",NA,NA,NA,33.33,11.76,33.33,14.68,15.07,19.04,20.33,16.68,11.96,11.01,8.74,9.5,9.29,9.85,8.24,7,6.41,4.17,3.78,2.63,2.56,3.81,4.78,4.56,3.71,3.14,2.9,4.81
"19","80-89",NA,NA,33.33,33.33,NA,2.38,8.46,10.69,12.23,15.75,18.7,17.31,17.07,18.43,19.92,19.61,17.83,17.05,8.41,6.13,6.21,4.21,3.86,3.75,2.86,1.09,1.99,1.59,1.8,1.47,2.83
"20","90+",NA,NA,16.67,NA,5.88,4.76,1.49,1.83,2.47,4.24,6.74,7.46,8.25,9.46,10.32,8.84,8.81,7.65,4.95,3.9,2.62,1.4,1.23,2.17,0.95,0.14,0.5,0.59,0.21,0.67,0.99
