"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,22,172,146
1,7,46,476,211
2,23,47,355,144
3,29,52,365,131
4,31,33,330,117
5,31,42,344,85
6,32,44,363,94
7,24,27,366,110
8,32,30,362,106
9,34,32,332,79
10,28,33,275,93
11,17,21,212,106
12,30,23,234,88
13,19,26,198,93
14,12,25,201,96
15,9,18,136,101
16,15,15,136,81
17,10,15,117,86
18,4,21,96,101
19,12,14,77,91
20,5,11,74,81
21,6,11,75,71
22,3,17,70,63
23,8,14,63,56
24,7,7,65,62
25,9,8,67,48
26,5,9,63,55
27,6,12,64,40
28,5,10,59,39
29,3,12,61,41
30,7,7,58,32
31,1,3,62,25
32,3,6,60,31
33,4,6,47,24
34,1,9,52,19
35,2,11,41,23
36,3,1,40,23
37,4,5,37,21
38,4,3,42,11
39,5,3,40,7
40,3,3,36,18
41,0,6,45,11
42,2,8,52,9
43,4,3,45,17
44,2,5,27,9
45,1,1,22,10
46,2,6,37,5
47,5,1,25,5
48,3,0,28,6
49,3,1,24,5
50,0,1,27,8
51,0,4,20,5
52,2,0,19,5
53,3,0,22,5
54,2,0,15,4
55,1,0,19,2
56,2,1,17,5
57,1,0,12,1
58,0,0,12,3
59,0,0,10,2
60,0,NA,NA,NA
